S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,Graham's Number Rs.,Piotski Scr,Face value Rs.,CMP Upside Potential %,52w High Rs.,QoQ Profits %,Qtr Profit Var %,Profit Var 3Yrs %,P/E,Trd Qty,ROCE 3Yr %,Exp Qtr NP Rs.Cr.,CP above GN %,ROE %,ROE 3Yr %,Debt / Eq
83.,Castrol India,125.40,12403.59,44.04,8.00,5.00,29.35,162.20,212.84,8.60,7.61,18.61,2953991,98.27,230.01,2.85,65.37,65.97,0.00
84.,V-Guard Industri,184.95,7932.77,40.72,5.00,1.00,28.14,237.00,1281.49,-12.75,8.61,61.48,1158200,25.98,37.35,4.54,19.62,19.68,0.01
85.,GHCL,169.95,1614.75,393.55,7.00,10.00,28.10,217.70,552.20,-27.71,1.34,5.64,303651,19.51,84.65,0.43,19.49,20.88,0.37
86.,ITC,193.65,238287.03,109.76,6.00,1.00,28.01,247.90,34.14,-18.23,14.84,16.95,34551649,33.83,4056.97,1.76,25.29,23.80,0.00
87.,Tata Metaliks,538.95,1701.87,731.73,4.00,10.00,27.66,688.00,763.43,250.58,12.47,8.84,97720,29.09,43.32,0.74,21.08,31.54,0.16
88.,ION Exchange,844.55,1238.67,647.68,7.00,10.00,26.81,1071.00,52.26,3.82,48.31,12.49,19283,29.83,32.35,1.3,27.62,24.56,0.20
89.,Navneet Educat.,80.65,1845.84,59.46,8.00,2.00,26.66,102.15,-48.22,-146.90,4.68,32.34,77586,24.65,1.36,1.36,23.67,20.50,0.08
90.,Fine Organic,2574.90,7894.64,456.63,6.00,5.00,26.61,3260.00,9.01,-45.27,28.37,60.71,59038,37.70,41.23,5.64,29.43,28.93,0.11
91.,Vidhi Specialty,121.30,605.83,64.19,7.00,1.00,26.13,153.00,11.74,-11.63,32.50,18.84,79039,29.67,10.27,1.89,29.65,28.62,0.05
92.,Black Rose Indus,129.50,660.45,34.21,7.00,1.00,25.87,163.00,196.19,0.16,63.41,36.92,26043,32.81,7.20,3.79,37.30,36.28,0.32
93.,Jubilant Life,723.00,11517.39,641.37,7.00,1.00,25.83,909.75,154.55,-10.13,16.94,14.40,375600,15.64,286.35,1.13,17.77,17.18,0.67
94.,Permanent Magnet,142.65,122.68,144.53,6.00,10.00,24.78,178.00,126.58,-3.76,129.10,9.48,13666,44.85,3.36,0.99,35.28,41.01,0.03
95.,Amines & Plast.,56.90,313.06,50.88,8.00,2.00,24.78,71.00,13.25,25.80,21.60,10.28,19946,25.11,6.75,1.12,28.01,24.95,0.53
96.,Dhanuka Agritech,751.05,3573.37,393.8,8.00,2.00,24.59,935.70,35.34,16.82,5.24,18.95,99896,26.02,52.37,1.91,20.84,19.95,0.01
97.,Balmer Law. Inv.,348.50,773.67,261.34,6.00,10.00,24.53,434.00,5326.85,2.30,29.15,9.07,17457,47.02,2.07,1.33,48.52,45.66,0.00
98.,Valiant Organics,3134.00,4254.95,921.75,4.00,10.00,23.71,3877.00,24.43,-1.67,122.59,33.64,13122,57.00,,3.4,40.65,50.43,0.29
99.,Orient Refrac.,217.10,2608.22,67.76,7.00,1.00,23.70,268.55,112.25,-21.45,8.17,37.78,142658,37.02,19.61,3.2,21.73,25.08,0.00
100.,Triven.Engg.Ind.,71.70,1733.38,125.9,8.00,1.00,23.36,88.45,-62.77,-73.64,1.02,5.82,785142,14.45,102.67,0.57,27.05,21.15,0.44
101.,Polycab India,958.40,14285.74,,6.00,10.00,23.33,1182.00,87.54,14.32,47.85,18.65,754730,26.52,225.82,,22.55,19.83,0.05
102.,Bharat Rasayan,9548.00,4057.90,3394.73,6.00,10.00,22.54,11700.00,-24.37,-31.35,43.04,28.06,11228,34.60,34.61,2.81,32.91,33.95,0.05
103.,Bajaj Consumer,204.20,3012.77,117.86,3.00,1.00,22.43,250.00,4.94,1.59,-6.14,16.45,1233359,49.55,43.10,1.73,32.73,40.41,0.02
104.,Hind. Unilever,2138.20,502382.12,372.79,7.00,1.00,22.27,2614.30,4.00,9.70,16.87,68.99,2935780,112.36,2285.27,5.74,85.72,81.09,0.00
105.,HLE Glascoat,1546.85,2000.24,218.16,7.00,10.00,22.18,1890.00,82.61,24.48,130.78,51.09,11731,36.66,12.83,7.09,52.60,34.94,0.87
106.,Rudrabhish. Ent.,87.40,151.55,84.42,7.00,10.00,21.74,106.40,,,57.67,10.37,49200,21.19,,1.04,19.69,15.61,0.03
107.,Worth Peripheral,47.50,74.82,113.6,5.00,10.00,21.58,57.75,-26.43,-13.81,9.72,5.36,43890,22.54,,0.42,16.44,16.03,0.17
108.,Abbott India,15399.05,32722.98,2725.15,8.00,10.00,21.30,18679.75,0.21,1.35,28.94,49.68,13373,37.36,219.69,5.65,26.73,25.65,0.07
109.,Mazagon Dock,179.00,3610.25,287.93,3.00,10.00,21.20,216.95,609.86,11.84,-6.08,7.45,1597949,25.01,,0.62,15.42,16.68,0.00
110.,Gillette India,5812.80,18943.92,713.61,6.00,10.00,20.80,7021.90,111.90,54.29,-3.34,71.84,14095,47.16,82.00,8.15,27.31,32.96,0.00
111.,Orient Electric,237.70,5043.65,32.68,7.00,1.00,20.70,286.90,218.80,558.94,88.21,84.12,541129,29.07,12.38,7.27,23.66,25.08,0.17
112.,Bata India,1572.90,20216.10,51.45,6.00,5.00,20.61,1897.00,56.07,-162.16,23.48,1762.52,1163017,26.91,-119.53,30.57,18.21,18.30,0.12
113.,SBI Life Insuran,846.05,84609.16,187.15,5.00,10.00,20.56,1020.00,-23.32,130.85,14.00,52.52,1842543,22.47,555.35,4.52,17.33,17.96,0.00
114.,Vinati Organics,1177.85,12106.18,287.61,6.00,1.00,20.47,1419.00,-14.19,-43.61,33.31,43.90,124157,37.16,64.86,4.1,28.52,26.84,0.00
115.,Mold-Tek Technol,47.70,133.52,40.33,4.00,2.00,20.34,57.40,57.77,17.33,29.94,13.33,50745,27.25,2.86,1.18,21.06,20.88,0.09
116.,Dynemic Products,237.10,268.60,261.55,5.00,10.00,20.20,285.00,-3.01,29.56,20.86,9.80,47106,20.93,8.05,0.91,20.47,19.71,0.73
117.,Guj.St.Petronet,219.55,12387.26,234.85,7.00,10.00,20.15,263.80,125.54,-23.22,46.94,6.62,2048454,28.48,704.45,0.93,55.72,42.57,0.37
118.,KMC Speciality,22.15,361.27,6.46,8.00,1.00,19.64,26.50,424.53,-16.01,29.95,39.79,86632,30.48,3.52,3.43,26.17,25.33,0.55
119.,Polyplex Corpn,735.40,2308.60,1578.38,6.00,10.00,19.51,878.85,-57.17,-47.35,12.69,4.12,97029,15.62,129.45,0.47,15.17,16.38,0.19
120.,Kanchi Karpooram,417.75,182.32,679.28,6.00,10.00,19.45,499.00,296.94,109.14,104.73,5.57,11049,54.16,7.64,0.61,32.74,43.71,0.00
121.,Dharamsi Morarji,149.15,371.98,146.23,4.00,10.00,19.34,178.00,115.10,169.12,22.76,10.08,20497,26.73,3.09,1.02,23.70,30.21,0.10
122.,Fairchem Speci.,539.95,2109.19,344.41,6.00,10.00,19.27,644.00,-19.97,-40.28,62.46,18.72,12575,16.40,36.01,1.57,19.58,16.26,0.60
123.,Auro Labs.,84.00,52.33,86.51,6.00,10.00,18.93,99.90,61.87,55.17,70.30,10.18,14943,28.44,1.24,0.97,20.82,26.13,0.00
124.,Kiri Industries,515.00,1731.46,959.11,5.00,10.00,18.91,612.40,178.23,-60.44,12.23,7.33,255422,20.62,3.57,0.54,21.66,20.84,0.07
125.,Bombay Burmah,1319.75,9208.15,1152.1,4.00,2.00,18.72,1566.80,-77.40,-24.36,14.30,6.54,123894,32.20,435.38,1.15,26.89,25.31,0.55
126.,Assoc.Alcohols,282.20,510.20,254.44,9.00,10.00,18.69,334.95,176.10,19.08,42.20,11.47,70518,32.94,19.00,1.11,29.15,25.50,0.03
